STATEID,DISTID,PSUID,HHID12,HHSPLITID12,HHID05,HHSPLITID05
Jammu & Kashmir 01,2,1,10,1,1,0
Jammu & Kashmir 01,2,1,20,1,2,0
Jammu & Kashmir 01,2,1,30,1,3,0
Jammu & Kashmir 01,2,1,40,1,4,0
Jammu & Kashmir 01,2,1,50,1,5,0
Jammu & Kashmir 01,2,1,60,1,6,0
Jammu & Kashmir 01,2,1,70,1,7,0
Jammu & Kashmir 01,2,1,80,1,8,0
Jammu & Kashmir 01,2,1,90,1,9,0
Jammu & Kashmir 01,2,1,90,2,9,0
Jammu & Kashmir 01,2,1,100,1,10,0
Jammu & Kashmir 01,2,1,110,1,11,0
Jammu & Kashmir 01,2,1,120,1,12,0
Jammu & Kashmir 01,2,1,130,1,13,0
Jammu & Kashmir 01,2,1,140,1,14,0
Jammu & Kashmir 01,2,1,160,1,16,0
Jammu & Kashmir 01,2,1,170,1,17,0
Jammu & Kashmir 01,2,1,180,1,18,0
Jammu & Kashmir 01,2,1,190,1,19,0
Jammu & Kashmir 01,2,1,200,1,20,0
Jammu & Kashmir 01,2,2,10,1,1,0
Jammu & Kashmir 01,2,2,20,1,2,0
Jammu & Kashmir 01,2,2,30,1,3,0
Jammu & Kashmir 01,2,2,40,1,4,0
Jammu & Kashmir 01,2,2,50,1,5,0
Jammu & Kashmir 01,2,2,60,1,6,0
Jammu & Kashmir 01,2,2,70,1,7,0
Jammu & Kashmir 01,2,2,80,1,8,0
Jammu & Kashmir 01,2,2,90,1,9,0
Jammu & Kashmir 01,2,2,100,1,10,0
Jammu & Kashmir 01,2,2,110,1,11,0
Jammu & Kashmir 01,2,2,120,1,12,0
Jammu & Kashmir 01,2,2,120,2,12,0
Jammu & Kashmir 01,2,2,120,3,12,0
Jammu & Kashmir 01,2,2,130,1,13,0
Jammu & Kashmir 01,2,2,140,1,14,0
Jammu & Kashmir 01,2,2,150,1,15,0
Jammu & Kashmir 01,2,2,160,1,16,0
Jammu & Kashmir 01,2,2,170,1,17,0
Jammu & Kashmir 01,2,2,180,1,18,0
Jammu & Kashmir 01,2,2,190,1,19,0
Jammu & Kashmir 01,2,2,200,1,20,0
Jammu & Kashmir 01,2,3,10,1,1,0
Jammu & Kashmir 01,2,3,20,1,2,0
Jammu & Kashmir 01,2,3,40,1,4,0
Jammu & Kashmir 01,2,3,50,1,5,0
Jammu & Kashmir 01,2,3,60,1,6,0
Jammu & Kashmir 01,2,3,70,1,7,0
Jammu & Kashmir 01,2,3,80,1,8,0
Jammu & Kashmir 01,2,3,80,2,8,0
Jammu & Kashmir 01,2,3,90,1,9,0
Jammu & Kashmir 01,2,3,100,1,10,0
Jammu & Kashmir 01,2,3,100,2,10,0
Jammu & Kashmir 01,2,3,110,1,11,0
Jammu & Kashmir 01,2,3,120,1,12,0
Jammu & Kashmir 01,2,3,130,1,13,0
Jammu & Kashmir 01,2,3,140,1,14,0
Jammu & Kashmir 01,2,3,150,1,15,0
Jammu & Kashmir 01,2,3,160,1,16,0
Jammu & Kashmir 01,2,3,170,1,17,0
Jammu & Kashmir 01,2,3,180,1,18,0
Jammu & Kashmir 01,2,3,190,1,19,0
Jammu & Kashmir 01,2,3,200,1,20,0
Jammu & Kashmir 01,2,4,10,1,1,0
Jammu & Kashmir 01,2,4,20,1,2,0
Jammu & Kashmir 01,2,4,30,1,3,0
Jammu & Kashmir 01,2,4,40,1,4,0
Jammu & Kashmir 01,2,4,50,1,5,0
Jammu & Kashmir 01,2,4,60,1,6,0
Jammu & Kashmir 01,2,4,70,1,7,0
Jammu & Kashmir 01,2,4,80,1,8,0
Jammu & Kashmir 01,2,4,80,2,8,0
Jammu & Kashmir 01,2,4,90,1,9,0
Jammu & Kashmir 01,2,4,100,1,10,0
Jammu & Kashmir 01,2,4,110,1,11,0
Jammu & Kashmir 01,2,4,120,1,12,0
Jammu & Kashmir 01,2,4,130,1,13,0
