stateid,distid,nmales,nfemales,area_sqkm,nlines,lengthlines
1,2,534733,473306,4243,340,678300.2612
1,3,651124,585705,1979,96,169745.071
1,5,293064,267376,1086,187,329885.4293
1,12,345351,297064,2630,387,836398.3602
1,13,813821,716137,2342,743,1243556.074
2,1,261320,257760,6522,172,638392.2762
2,2,750591,759484,5739,633,1316099.416
2,4,225452,212451,5503,145,411609.8612
2,5,498065,501712,3950,423,909168.1641
2,6,217070,237698,1118,810,1715269.359
2,6,593537,510748,4021,810,1715269.359
2,8,192764,189192,1167,2563,3333536.343
2,8,1351574,1312055,8272,2563,3333536.343
2,9,308754,271566,1936,381,667689.5628
2,10,276289,253566,2825,230,631461.1208
2,11,425039,388971,5131,319,795302.7987
3,1,1212617,1085706,3551,893,1481985.015
3,2,1318408,1172248,2683,961,1564837.525
3,3,426311,388857,1633,598,895164.7732
3,4,1145211,1048379,2624,1211,1735587.585
3,5,809057,777568,3386,891,1486347.497
3,6,313291,299019,1282,378,634151.5737
3,7,357485,327142,1356,565,798936.933
3,8,320795,279368,1180,547,740532.8728
3,9,1867816,1630923,3578,1309,2070401.721
3,10,525920,469826,2242,848,1271670.33
3,11,1071637,957437,5305,666,1129576.972
3,16,878029,777140,3625,1222,1962259.063
3,17,1002522,893164,3325,1478,2050548.577
4,0,580663,474787,114,114,109690.9926
5,5,892199,804495,3088,486,872778.8667
5,8,124326,135572,2241,142,364539.2781
5,9,291081,331425,3144,361,849771.0032
5,11,493666,460939,4251,379,899352.2363
5,12,858783,790119,2542,787,1226887.076
5,13,1005295,885127,2360,689,1084711.157
6,1,299679,261614,898,289,396471.8124
6,2,598703,529647,1574,534,819015.014
6,3,646718,567487,1768,737,1049637.081
6,4,510976,453679,1530,685,1012528.199
6,5,571003,503301,2317,801,1270943.854
6,6,797712,707612,2520,1103,1536754.988
6,8,781299,668702,2122,711,1133216.84
6,9,713006,621146,2702,757,1317337.147
6,10,495360,446651,2538,644,1186588.032
6,12,931562,812369,3983,975,1794282.472
6,13,866672,767773,4778,1523,2344931.216
6,17,474335,425997,1594,491,785876.9716
6,18,816690,697742,1258,738,901916.5716
6,19,966110,843623,741,294,414976.604
7,2,475002,412976,61,179,217652.875
7,3,1188425,1053199,62,17,23657.87077
7,4,907500,801846,63,75,70964.4832
7,7,1356240,1187003,130,104,105044.3628
7,8,1246046,1046912,421,161,194586.5587
7,9,1467428,1264501,247,131,156869.4714
8,3,1240801,1123136,30239,2113,6334268.303
8,4,1051446,988101,13835,1565,3803830.035
8,5,1095896,1041149,5928,1612,2756329.011
8,6,1939026,1735153,8380,2589,4026632.417
8,7,1355726,1192736,5066,1523,2528690.416
8,8,653647,552869,3033,678,1188467.184
8,10,783639,674609,5524,1151,1918957.777
8,10,704031,631520,4498,1118,1966953.698
8,11,857787,776622,3432,1294,1941063.584
8,12,3468507,3157671,11143,3314,5307684.158
8,13,1374990,1302343,7732,2284,3596034.266
8,14,1696325,1611418,17718,2936,6248222.162
8,15,1923928,1763237,22850,3958,7985150.413
8,18,936634,892096,10640,1331,3018810.16
8,20,1025422,1012151,12387,1536,3576397.86
8,21,1324085,1258967,8481,1645,3188136.653
8,24,1220736,1187787,10455,2249,4287386.619
8,25,581339,575258,4655,932,1731463.461
