Name,NVillages_Inhabited,Nvillages_Uninhabited,NTowns,NHHs,NMales,Nfemales,Area_sq_km
India,597608,43324,7933,249501663,623270258,587584719,3287469
Adilabad,1590,135,22,649849,1369597,1371642,16105
Agra,893,36,27,710566,2364953,2053844,4041
Ahmadnagar,1581,3,19,930024,2342825,2200334,17048
Ahmedabad,506,6,13,1510134,3788051,3426174,8107
Ajmer,1099,12,11,494832,1324085,1258967,8481
Akola,864,122,12,395690,932334,881572,5673
Alappuzha,51,1,38,535958,1013142,1114647,1415
Allahabad,2809,244,25,976733,3131807,2822584,5482
Almora,2184,105,5,140577,291081,331425,3144
Alwar,2021,33,16,639720,1939026,1735153,8380
Amarawti,1637,360,12,647451,1480768,1407677,12210
Ambala,461,9,15,224334,598703,529647,1574
Ambedkar Nagar,1649,101,7,368728,1212410,1185478,2350
Amreli,614,2,10,294837,771049,743141,7397
Amritsar,703,36,15,488898,1318408,1172248,2683
Anand,347,0,15,427605,1087224,1005521,3204
Anantapur,921,28,16,968160,2064495,2016653,19130
Anugul,1654,217,18,297050,655718,618103,6375
Ariyalur,189,24,4,197090,374703,380191,1940
Arunachal,5258,331,27,270577,713912,669815,83743
Bagalkot,613,11,15,361149,950111,939641,6552
Bageshwar,874,73,1,58046,124326,135572,2241
Bahraich,1359,31,5,603754,1843884,1643847,5237
Balangir,1751,32,8,414749,830097,818900,6575
Baleshwar,2635,297,5,533001,1185787,1134742,3806
Baliya,1843,518,11,480268,1672902,1566872,2981
Banda,657,37,8,319963,965876,833534,4408
Bangalore,562,26,16,2393845,5022661,4598890,2196
Bangalore Rural,957,94,7,229279,509172,481751,2298
Banka,1702,409,2,381601,1067140,967623,3020
Bankura,3585,238,12,766902,1838095,1758579,6882
Barabanki,1817,22,15,579058,1707073,1553626,4402
Baramula,509,9,7,152635,534733,473306,4243
Baran,1114,107,8,241428,633945,588810,6992
Barddhaman,2418,84,96,1730927,3966889,3750674,7024
Bareilly,1855,196,31,756784,2357665,2090694,4120
Bargarh,1179,27,8,370308,749161,732094,5837
