DISTRICT,STATEID,DISTID,nlines,lengthlines
India,0,0,570572,1011976860
Adilabad,28,1,1889,4222461.01
Agra,9,15,2115,2619669.704
Ahmadnagar,27,26,3936,6802744.211
Ahmedabad,24,7,1938,3443206.126
Ajmer,8,21,1645,3188136.653
Akola,27,5,1256,2198207.393
Alappuzha,32,11,232,429069.4262
Allahabad,9,45,2595,3323611.989
Almora,5,9,361,849771.0032
Alwar,8,6,2589,4026632.417
Amarawti,27,7,1840,3680701.718
Ambala,6,2,534,819015.014
Ambedkar Nagar,9,48,983,1378798.892
Amreli,24,13,1212,2502625.328
Amritsar,3,2,961,1564837.525
Anand,24,15,1033,1499023.576
Anand,24,16,1033,1499023.576
Anantapur,28,22,3023,5988998.77
Anugul,21,15,1336,2103513.031
Ariyalur,33,15,440,780953.4445
Ariyalur,33,17,440,780953.4445
Arunachal,12,0,766,3807212.355
Bagalkot,29,2,1073,2101074.339
Bageshwar,5,8,142,364539.2781
Bahraich,9,50,1099,1879151.823
Balangir,21,24,1208,2277651.294
Baleshwar,21,8,694,1291032.992
Baliya,9,63,1076,1535330.165
Banda,9,40,917,1717453.614
Bangalore,29,20,860,1164477.868
Bangalore Rural,29,21,711,1002245.342
Banka,10,23,876,1302305.602
Bankura,19,13,1784,2981020.091
Barabanki,9,46,1386,2087368.113
Baramula,1,2,340,678300.2612
Baran,8,31,1507,2633451.478
Barddhaman,19,9,2279,3616411.804
Bareilly,9,20,1541,2261473.646
Bargarh,21,1,1019,1910629.572
Barwani,23,27,647,1448396.898
Barwani,23,28,647,1448396.898
Bastar,22,15,583,1183646.988
Baudh,21,22,226,565261.4438
Belgaum,29,1,1968,4000121.726
Bellary,29,12,1470,2768095.701
Betul,23,35,1208,2667360.354
Bhadrak,21,9,477,910055.7336
Bhagal Pur,10,22,793,1125930.981
Bhandara,27,10,781,1434377.097
Bharatpur,8,7,1523,2528690.416
Bharuch,24,21,1428,2168188.744
Bhavnagar,24,14,1273,2402143.245
Bhilwara,8,24,2249,4287386.619
Bhiwani,6,13,1523,2344931.216
Bhopal,23,32,763,1204230.056
Bid,27,27,2159,4038501.104
Bidar,29,5,993,2047196.277
Bijapur,29,3,1346,3497093.878
Bijnor,9,3,1324,2201369.103
Bikaner,8,3,2113,6334268.303
Bilas Pur,22,7,2563,3333536.343
Bilaspur,2,8,2563,3333536.343
Birbhum,19,8,1428,2219425.733
Bokaro,20,13,716,1170659.155
Budaun,9,19,1178,2003640.567
Buxar,10,30,520,865938.4386
Cachar,18,21,375,729676.0464
Chamarajanagar,29,27,812,1388900.3
Chamba,2,1,172,638392.2762
Chandauli,9,66,801,1152563.78
Chandigarh,4,0,114,109690.9926
Chandrapur,27,13,1623,3210883.467
Chennai,33,2,72,90125.76283
Chhatarpur,23,9,1579,2962950.417
Chikmagalur,29,17,661,1410611.256
Chitradurga,29,13,1854,3148050.18
Chitrakoot,9,41,609,1119624.045
Chittaurgarh,8,29,1728,3038894.505
Chittoor,28,23,2896,4721373.193
Churu,8,4,1565,3803830.035
Coimbatore,33,12,1215,1830209.578
Cuddapah,28,20,1950,3941144
Cuttack,21,12,875,1436898.445
Dadra & Nagar Haveli,26,0,196,259404.9449
Dakshin Kannada,29,29,346,902536.9977
Dakshin Kannada,29,24,383,809407.6483
Daman & Diu,25,0,43,42027.09878
Damoh,23,12,1331,2359192.351
Darjiling,19,1,357,692723.6468
Datia,23,5,607,1139042.214
Dausa,8,11,1294,1941063.584
Davanagere,29,14,1176,2126951.171
Dehradun,5,5,486,872778.8667
Delhi East,7,4,-1,-1
Delhi Municipal Corp,7,10,-1,-1
Delhi North,7,2,-1,-1
Delhi North East,7,3,-1,-1
Delhi North West,7,1,-1,-1
Delhi North West,7,12,-1,-1
Delhi South,7,9,-1,-1
Delhi South West,7,8,-1,-1
Delhi West,7,7,-1,-1
Deoria,9,60,962,1411747.076
Dewas,23,23,1280,2505563.933
Dhamtari,22,13,578,1129185.114
Dhanbad,20,12,712,1044080.93
Dhar,23,25,1717,3016555.023
Dharampuri,33,5,1088,1583296.512
Dharwad,29,9,674,1296219.686
Dhaulpur,8,8,678,1188467.184
Dhenkanal,21,14,901,1562616.219
Dhubri,18,2,282,513716.7862
Dhule,27,2,1000,2202196.728
Dindigul,33,13,1400,2106573.51
Dindori,23,41,904,1710246.853
Durg,22,10,1030,1339255.894
East Godavari,28,14,1953,3689986.848
East Nimar,23,29,1149,2130349.237
Ernakulam,32,8,465,925088.1967
Erode,33,10,1351,1903613.005
Faizabad,9,47,1212,1659422.875
Faridabad,6,19,294,414976.604
Farrukabad,9,29,579,948186.9353
Fatehabad,6,10,644,1186588.032
Fatehgarh,3,8,547,740532.8728
Fatehpur,9,42,2464,2899433.553
Firozpur,3,11,666,1129576.972
Gadag,29,8,478,1192260.901
Gajapati,21,20,285,788309.2769
Gandhinagar,24,6,872,1138494.224
Gandhinagar,24,7,872,1138494.224
Ganjam,21,19,1390,2424984.604
Gautam Buddha Nagar,9,10,650,834805.7201
Gaya,10,35,1753,2517539.568
Ghaziabad,9,9,578,685938.3753
Ghazipur,9,65,1163,1778278.874
Goalpara,18,3,486,832496.4085
Gondiya,27,11,686,1449687.091
Gorakhpur,9,58,1279,1867827.871
Guntur,28,17,2182,3996319.153
Gurdaspur,3,1,893,1481985.015
Gurgaon,6,18,738,901916.5716
